bike_id,Manhattan,Brooklyn,Queens
24210,2569132,346610,9463
19348,5722654,959100,51438
16318,7460803,2920091,48759
18783,7498887,1529051,61292
19398,9163644,1111351,68542
15872,6928488,3406345,162023
22503,2912911,375606,13597
19826,7795595,1350160,75490
23453,2122194,187954,18019
17275,6573771,2280441,80904
18946,7254410,1837950,113697
18700,6710023,1789798,61321
24340,2066884,310532,21044
23800,1670536,254703,17001
21461,3584664,2013532,22272
16862,5352091,924643,49317
17122,6884009,1058258,97108
17121,5801937,1049493,69079
32853,2684634,561824,70482
24224,1526559,165973,8952
14567,4677680,858961,22216
16322,5992636,827209,71621
15057,6897109,1177657,30738
35278,3669174,995120,183375
31366,4670301,730971,81284
16460,6854420,1195393,58305
18796,7973930,1017172,104855
15558,7354999,1836112,75437
30836,3650000,882225,82342
15225,5165735,1040622,17463
22502,1103402,173184,8701
30757,3533119,882158,87994
16123,7256039,981255,95292
25155,3964592,1256704,62088
19524,7624496,1013294,125563
21460,6210283,1082708,54275
14620,7308626,990260,76263
17306,7078082,1011179,172846
23080,1724600,340857,10439
21051,5452855,1082202,68417
15451,6537864,1478075,135455
28049,4189325,780968,134883
23327,2318397,400259,20925
21414,6034540,1288910,124973
30069,3365136,1840553,120395
19314,5061264,814609,78102
17496,7523066,1189487,94394
18586,6507179,816747,143059
24341,1355714,210938,3845
22005,1274314,176717,10486
15013,5850855,1467602,129603
48202,524411,127399,40581
47217,340885,138952,84284
18806,7341091,1440315,74644
24889,3761797,1920023,112735
25300,3974283,651799,256608
20732,6122357,1165664,109289
21420,4696061,843357,86816
17461,6896190,1304170,89790
28665,2251844,535976,27196
34036,3671781,875718,214645
32539,3522501,978068,106248
44003,393567,316037,27943
26850,3813919,716109,74655
26788,4394340,1645703,78938
20336,6549498,1312508,166704
23467,2519344,275256,26886
35706,1839427,505916,77883
22089,2426386,443555,23466
19389,7008639,1456182,126683
49741,213026,72021,14455
15224,7089891,1079781,37003
20714,3446266,544693,69737
30902,3245122,1290832,82368
35175,3482109,806422,132695
18032,5578987,852047,40057
49585,190459,68931,19369
39832,2180955,604067,125405
33481,5374143,743028,72507
24286,362072,38475,2733
22516,1796539,351525,24145
29073,3683340,3340064,235604
21453,5501269,699145,39962
15325,6517667,871829,104504
20978,5168459,897591,64934
16997,6061111,1364941,75874
26594,4200911,1334184,61801
21249,6501305,1446818,117199
15127,6419005,1239041,139871
27223,3778106,716022,71234
16435,6369282,1337067,45756
28397,4119257,722061,80675
20069,8226916,1148250,58809
29770,3649452,457416,47280
17177,6168386,4923347,127215
18681,6852010,1081946,51634
16262,6864840,1020214,91193
32092,4350059,1074907,91756
28020,3311030,657178,63072
14919,6474249,1129194,70494
30584,4326386,786233,264920
32320,2625162,1491163,36775
48457,398507,118637,21119
33257,3326734,1219567,50036
19406,8629275,1197661,102730
17992,5052230,710433,70993
47111,526444,118758,9582
24944,3485983,769387,68240
20621,8123523,1185110,152040
32160,2026868,496662,39260
16392,6670405,1071611,82690
16122,5494765,991863,32058
28812,4115297,1395262,103040
14906,6592556,1002577,46404
36873,286011,208302,10092
37670,1005947,267940,42651
25640,3893445,831151,113362
17190,7650566,1086303,856409
18549,7538365,2400179,39499
33100,2362099,619910,102660
46826,596532,75579,12167
27469,3679175,710835,124885
27533,3592226,747401,95382
33943,2267814,720296,64544
20702,5151819,689185,65864
15584,6772981,1237661,79719
21301,5318432,3367874,88871
21601,6465164,2070922,108683
28639,3442281,966650,87309
21667,5853069,916242,82024
16273,6950339,1893828,103463
22872,2172995,243380,18080
41918,1227686,388946,78157
25715,4215444,985984,67069
16071,5174278,876899,48644
29370,3519230,714048,89426
19023,6885175,1013901,102280
25235,4538010,898976,74394
15588,4946305,485089,4419
33589,2395629,502584,51038
16001,7243498,1223419,115634
22677,3240562,347866,11548
26928,3170258,725177,17968
21150,5599735,1014408,91166
38797,2405448,735823,128870
20682,6313889,1029115,109857
26701,4771258,848440,104750
25160,3363314,1030895,75018
30730,4353172,1001674,121092
15818,6492312,1110163,121168
24348,1156318,124419,8744
25388,4746335,932968,69962
26747,3752465,1395005,96708
25687,4439535,910322,62933
37658,1708895,440730,64521
21447,8542953,751713,218243
15856,6384649,2862602,68223
41234,1770530,518898,42946
16537,5964121,1113097,97177
33023,3178587,850059,131051
25754,4016557,688260,79387
39844,2044065,534400,72908
20215,8798095,1287323,284939
43467,2801608,326739,39840
20777,5252590,856740,77324
17479,7018452,958738,59784
39977,2290504,553916,102265
15676,6689119,1116486,124665
14584,6310985,1346350,80516
36872,1045458,410119,77582
15336,17917090,2414833,49864
15734,6853073,2043030,66360
