bike_id,WINTER,SPRING,SUMMER,FALL
22248,289043,72171,1088635,912112
15377,571848,1858933,2971981,1918876
15818,693065,2106574,3023671,1922971
18675,751636,2246798,3971225,1971101
25553,322517,1272607,2808736,1102555
17894,874130,2131483,3327722,2066678
28838,801690,1716737,1610449,1145479
19180,130187,295393,511748,378099
16644,597823,2017392,3021642,2121184
17729,875164,3120953,4592186,1933814
25523,390440,1113002,3073818,1023703
18689,868837,2490429,3324300,1804952
19669,552001,1047003,2090200,1016711
20086,584633,2243900,3910991,1711125
18781,552137,2259539,3284189,2374330
23051,332242,136144,578479,1115755
19682,709751,2156136,4605292,2171216
19253,770742,2442000,2891279,1773214
30437,623253,884381,1057268,1190526
30802,605052,1143333,1461958,1402156
14928,570705,2274916,2736911,1736198
23975,479288,51217,229411,1056914
18700,1129353,2472889,2900715,2084176
19756,1240865,2512420,3221607,1624210
26011,481758,1348161,2276358,970601
17905,603880,2881735,3275548,2004439
25235,496380,1494998,1959490,1576597
25076,596956,1897979,2951450,1396400
20095,1146310,2418705,3084845,1744166
26942,339826,1487867,2691175,1320868
16888,748057,2129587,2641477,1675714
17442,936177,1992201,2837587,1895333
19065,858722,2169392,3290842,2098533
16160,799160,1894829,3117891,1977088
33338,619623,1444067,1391310,791389
18453,896727,2679859,3346907,1933232
30131,799564,1378171,1160515,460465
31480,832949,1290281,1103556,1233789
21675,888095,2613673,2254471,1804422
17177,806567,3654036,4781872,1997071
16529,861701,2487553,3146661,2942959
16090,792365,1904337,3039501,1741789
27514,747590,1185131,1327518,954063
19408,742495,5444951,2845185,1658189
25269,406429,1111556,2115102,1169817
18620,1069983,2309061,3295956,2002175
24199,622118,36321,389567,886509
30161,645950,1191546,2335433,1106579
15315,653377,2199977,3013529,2167073
16681,613701,2433016,2920738,2294686
21098,757884,2504032,2401083,1542369
20375,926676,2178431,2867204,1612826
20827,809440,2488542,2960492,1732817
37411,434211,933236,898159,
26719,594578,1208538,1822730,1146076
25681,739968,1022720,1913139,1049364
36535,189607,231075,694012,1594032
18241,555197,1585384,2082303,1040209
22088,115281,466601,956448,1231424
15428,916466,2751816,2777118,1863684
17153,1206601,3658168,2710557,1484513
25170,373312,1394870,2261571,1035445
27541,593410,1775132,2350289,674591
30594,867240,1632174,1513570,1129383
16499,362648,1117695,1654171,801928
42935,77795,801923,1061839,409627
17426,907662,1953415,3862370,1986860
32769,624851,825125,801321,849827
18465,1006894,6873905,2545481,1919316
34205,611965,977918,1619914,1438324
15798,627212,2303686,2905394,1726748
31500,757985,3995537,2358328,938550
28958,304511,1630274,1760138,745354
32446,540998,1403652,1447058,1323239
40992,368382,528314,651542,675547
27066,568488,1194922,3696864,1311775
18394,576740,3391546,3357151,2532599
