bike_id,max_lag
29843,
30339,
44725,
45427,
31107,
34593,
27334,
31357,
34839,
26259,
34437,
34441,
22376,
44790,
30050,
24669,
34609,
31697,
42088,
31777,
44799,
29631,
33548,
33733,
49528,
34421,
47079,
21947,
29296,
29598,
47503,
31691,
35423,
42938,
38002,
43890,
29633,
34598,
26209,
21758,
46395,
43913,
26783,
31802,
34608,
44328,
44764,
29618,
31949,
34867,
44794,
29845,
24781,
29651,
29836,
42897,
45650,
30402,
35533,
44788,
29103,
34952,
47446,
31859,
45335,
44752,
32872,
24410,
33727,
20502,
30405,
39993,
35831,
31876,
33729,
31763,
37942,
31747,
40025,
37956,
37990,
46307,
34834,
37951,
31938,
29610,
31824,
26285,
21943,
29649,
37963,
44763,
45293,
29637,
31779,
37952,
32778,
31952,
24739,
31773,
31934,
31926,
24743,
29648,
33644,
44769,
44329,
44733,
29544,
42497,
44776,
26431,
44771,
31698,
37999,
26647,
46080,
30829,
26224,
42643,
31908,
50107,
37998,
31696,
34531,
35443,
31765,
45441,
31694,
24070,
34924,
31681,
34522,
42603,
44734,
31722,
20504,
31736,
35605,
49847,
44779,
37996,
37959,
31706,
29833,
31873,
37967,
44768,
42746,
39980,
45974,
43445,
34468,
26286,
24308,
21942,
29105,
29284,
33518,
26191,
29493,
24375,
44773,
34974,
45037,
24425,
24759,
37410,
45531,
26242,
29838,
34497,
31754,
34325,
34561,0-0 0 0:2:12.980
32504,0-0 0 0:5:32
33478,0-0 0 0:6:38
38153,0-0 0 0:8:7.883
29253,0-0 0 0:11:5
34470,0-0 0 0:11:40.423
29217,0-0 0 0:17:26
34513,0-0 0 0:17:42.160
22371,0-0 0 0:19:48
34471,0-0 0 0:20:9.737
29263,0-0 0 0:21:30.120
29619,0-0 0 0:21:53
26165,0-0 0 0:28:15
45504,0-0 0 0:31:39.981
49462,0-0 0 0:34:24.566
44792,0-0 0 0:35:31
24404,0-0 0 0:36:0
29437,0-0 0 0:40:49
44724,0-0 0 0:41:14.446
24515,0-0 0 0:42:14
43589,0-0 0 0:46:57.317
29513,0-0 0 0:49:22
24627,0-0 0 0:50:4
38340,0-0 0 0:52:24.107
45494,0-0 0 0:53:39.033
37622,0-0 0 0:56:19.694
44188,0-0 0 0:59:51.014
24565,0-0 0 1:4:22
26308,0-0 0 1:6:34
37945,0-0 0 1:7:5.187
26269,0-0 0 1:12:12
40116,0-0 0 1:16:36.908
29642,0-0 0 1:18:50.562
46041,0-0 0 1:19:45.393
29552,0-0 0 1:20:20.475
46377,0-0 0 1:21:45.198
42611,0-0 0 1:48:42.048
34452,0-0 0 1:51:23.512
