bike_id,max_lag
50124,1
50123,2
50107,
50106,3
50105,2
50104,4
50103,3
50102,10
50101,7
50100,6
50099,5
50098,3
50097,7
50096,5
50095,4
50094,3
50093,3
50092,7
50091,2
50090,5
50089,6
50088,12
50087,3
50086,6
50084,32
50083,17
50082,3
50081,4
50080,3
50079,1
50078,3
50077,5
50076,4
50075,5
50074,4
50073,2
50072,6
50071,5
50070,10
50069,4
50068,3
50067,8
50066,3
50065,6
50064,5
50063,2
50062,4
50061,6
50060,4
50059,2
50057,4
50056,23
50055,3
50054,4
50053,4
50052,3
50051,16
50050,3
50049,2
50048,13
50047,3
50046,2
50045,5
50044,5
50043,4
50042,4
50041,8
50040,3
50038,8
50037,6
50036,6
50035,3
50034,3
50033,4
50032,9
50031,8
50030,10
50029,5
50028,2
50027,5
50024,4
50023,11
50022,16
50021,4
50020,3
50019,4
50018,3
50017,6
50016,7
50015,6
50014,3
50013,3
50012,3
50011,4
50010,4
50009,8
50008,4
50007,6
50006,26
50005,3
50004,3
50003,5
50002,3
50001,3
50000,2
49999,5
49998,8
49997,7
49996,5
49995,3
49994,4
49993,4
49992,5
49991,9
49990,4
49989,7
49988,9
49987,3
49986,27
49985,5
49984,9
49983,6
49982,7
49981,5
49980,4
49979,6
49978,5
49977,2
49976,8
49975,13
49974,3
49973,10
49972,3
49971,4
49970,4
49969,4
49968,19
49967,6
49966,4
49965,5
49964,5
49963,7
49962,3
49961,4
49960,8
49959,7
49958,6
49957,2
49956,4
49955,3
49954,3
49953,5
49952,3
49951,3
49950,4
49949,4
49948,4
49947,39
49946,6
49945,4
49944,8
49943,5
49942,4
49941,3
49940,2
49939,4
49938,3
49937,2
49936,3
49935,17
49934,6
49933,10
49932,7
49931,5
49930,2
49929,6
49928,4
49927,5
49926,3
49925,4
49924,5
49923,4
49922,26
49921,8
49920,4
49919,5
49918,5
49917,4
49916,5
49915,4
49914,3
49913,4
49912,4
49911,5
49910,3
49909,7
49908,5
49907,3
49906,6
49905,4
49904,4
49903,5
49902,1
49901,5
49900,4
49899,7
49898,3
49897,2
49896,12
49895,9
49894,3
49893,7
49892,5
49891,4
49890,3
49889,4
49888,3
49887,14
49886,3
49885,2
49884,4
49882,4
49881,3
49880,4
49879,3
49878,8
49877,2
49876,10
49875,6
49874,3
49873,4
49872,7
49871,5
49870,6
49869,5
49868,2
49867,7
49866,2
49865,4
49864,6
49863,4
49862,4
49861,7
49860,5
49859,3
49858,5
49857,2
49856,3
49855,22
49854,5
49853,3
49851,3
49850,3
49849,9
49847,
49842,2
49840,3
49839,9
49838,1
49836,7
49835,8
49834,7
49833,10
49832,48
49831,4
49830,5
49829,5
49828,2
49827,5
49826,2
49825,3
49824,5
49823,2
49822,3
49821,6
49820,7
49819,7
49818,14
49817,17
49816,4
49815,8
49814,2
49813,7
49812,47
49811,7
49810,6
49809,3
49808,10
49807,7
49806,8
49805,8
49804,4
49803,5
49802,3
49801,4
49800,4
49799,3
49798,3
49797,4
49796,7
49795,4
49793,5
49792,2
49791,9
49790,22
49789,4
49788,3
49787,3
49786,5
49785,3
49784,5
49783,2
49782,2
49781,4
49780,6
49779,2
49778,4
49777,7
49776,3
49775,3
49774,2
49773,3
49772,10
49771,2
49770,3
49769,4
49768,3
49767,0
49766,3
49765,5
49764,6
49763,11
49762,6
49761,6
49760,4
49759,4
49758,3
49757,4
49756,6
49755,32
49754,3
49753,6
49752,2
49751,6
49750,2
49749,4
49748,3
49747,5
49746,13
49745,9
49744,6
49743,17
49742,4
49741,5
49740,9
49739,6
49738,2
49737,3
49736,3
49735,3
49734,4
49733,18
49732,9
49731,5
49730,6
49729,9
49728,9
49727,4
49726,24
49725,5
49724,7
49723,9
49722,7
49721,7
49720,5
49719,4
49718,4
49717,6
49716,3
49715,3
49714,11
49713,3
49712,4
49711,4
49710,4
49709,4
49708,3
49707,2
49706,12
49705,5
49704,11
49703,3
49702,10
49701,4
49700,4
49699,3
49698,3
49697,6
49696,5
49695,4
49694,9
49693,3
49692,4
49691,9
49690,12
49689,3
49687,2
49686,6
49685,3
49684,4
49683,1
49682,8
49681,4
49680,2
49679,7
49678,34
49677,10
49676,9
49675,33
49674,6
49673,7
49672,3
49671,3
49670,7
49669,23
49668,4
49667,5
49666,15
49665,4
49664,3
49663,3
49662,7
49661,2
49660,2
49659,3
49658,3
49657,3
49656,5
49655,9
49654,3
49653,4
49652,5
49651,3
49649,4
49648,5
49647,8
49646,3
49645,4
49644,5
49643,3
49642,3
49641,4
49640,5
49639,7
49638,5
49637,3
49636,6
49635,5
49634,4
49633,3
49632,2
49631,3
49630,11
49629,4
49628,8
49627,3
49626,5
49625,6
49624,3
49623,3
49622,6
49621,3
49620,7
49619,3
49618,2
49617,5
49616,4
49615,10
49614,6
49613,7
49612,3
49611,3
49610,5
49609,4
49608,2
49607,3
49606,3
49605,3
49604,2
49603,4
49602,2
49601,8
49600,8
49599,7
49598,3
49597,13
49596,11
49595,6
49594,4
49593,13
49592,4
49591,9
49590,3
49589,3
49588,3
49587,5
49586,5
49585,4
49584,4
49583,12
