year,day_of_week,hour_of_day,minute,num_rides
2017,4,0,52,224
2021,1,0,45,30
2020,5,0,51,316
2020,3,0,36,279
2020,6,0,44,354
2019,5,0,55,260
2019,1,0,44,638
2020,1,0,6,861
2020,7,0,7,785
2019,6,0,0,632
2020,7,0,41,598
2020,3,0,5,443
2020,1,0,35,651
2013,4,0,6,177
2013,7,0,34,191
2014,3,0,1,231
2014,1,0,44,266
2013,1,0,38,247
2014,4,0,35,114
2013,6,0,33,134
2014,5,0,2,214
2014,4,0,16,186
2013,2,0,25,93
2013,1,0,59,235
2013,4,0,42,101
2014,7,0,47,192
2013,1,0,39,250
2013,1,0,50,181
2013,7,0,7,242
2014,4,0,32,148
2013,3,0,6,130
2013,1,0,11,260
2014,7,0,11,286
2014,2,0,38,117
2013,3,0,27,107
2013,3,0,10,145
2014,1,0,13,299
2013,4,0,53,85
2014,1,0,3,269
2014,7,0,12,300
2013,6,0,13,192
2014,4,0,10,207
2013,4,0,26,129
2013,6,0,39,164
2014,6,0,8,272
2014,4,0,8,215
2014,7,0,5,300
2014,2,0,48,107
2013,5,0,10,179
2013,1,0,58,199
2014,4,0,0,224
2013,7,0,35,200
2014,1,0,1,303
2014,5,0,31,147
2013,4,0,36,131
2013,7,0,0,221
2013,1,0,55,234
2013,5,0,28,141
2014,3,0,46,109
2014,3,0,29,124
2013,1,0,20,243
2013,5,0,19,150
2013,1,0,16,254
2013,1,0,56,210
2014,6,0,20,223
2014,4,0,18,160
2013,2,0,33,107
2013,2,0,19,111
2014,2,0,9,173
2014,2,0,42,102
2014,1,0,33,286
2014,6,0,2,261
2014,1,0,48,254
2013,1,0,5,258
2014,5,0,41,128
2013,6,0,8,195
2013,2,0,29,111
2014,5,0,27,151
2013,7,0,22,222
2013,4,0,34,118
2014,2,0,57,91
2013,2,0,46,83
2014,3,0,30,145
2013,1,0,10,278
2014,6,0,19,208
2013,2,0,18,126
2013,1,0,13,263
2013,2,0,8,134
2013,4,0,51,83
2013,3,0,1,182
2013,7,0,26,225
2013,6,0,48,117
2013,3,0,47,82
2013,5,0,36,140
2013,7,0,44,213
2013,6,0,14,182
2014,2,0,5,198
2014,1,0,58,238
2013,6,0,58,117
2013,2,0,34,104
2013,7,0,18,228
2014,4,0,39,138
2013,4,0,52,84
2013,6,0,50,111
2013,7,0,38,213
2014,4,0,49,100
2014,4,0,29,175
2013,1,0,37,228
2014,3,0,23,175
2013,6,0,51,115
2014,2,0,26,138
2013,7,0,25,212
2013,6,0,19,178
2014,6,0,26,208
2014,6,0,18,202
2014,7,0,22,275
2014,6,0,32,197
2013,7,0,59,158
2013,2,0,57,71
2014,6,0,13,253
2014,4,0,58,98
2013,2,0,23,110
2013,6,0,16,170
2013,7,0,42,205
2013,4,0,27,119
2014,1,0,11,320
2014,6,0,33,177
2014,7,0,16,297
2013,2,0,16,111
2013,7,0,13,230
2014,5,0,39,140
2013,4,0,49,95
2014,1,0,15,266
2014,1,0,40,246
2014,1,0,25,279
2013,4,0,17,168
2014,3,0,42,126
2013,7,0,28,239
2015,3,0,41,136
2016,4,0,43,178
2015,6,0,45,177
2015,6,0,25,244
2013,1,0,48,221
2015,1,0,20,335
2016,5,0,0,359
2013,5,0,40,117
2014,5,0,30,158
2015,4,0,12,249
2015,4,0,45,146
2015,6,0,28,256
2015,1,0,14,318
2015,1,0,50,247
2015,7,0,58,259
2015,1,0,29,332
2015,4,0,59,123
2015,1,0,53,275
2015,2,0,10,211
2013,7,0,31,191
2013,7,0,27,215
2015,5,0,5,277
2015,2,0,22,182
2013,2,0,7,128
2013,3,0,0,159
2016,3,0,38,170
2013,4,0,22,134
2016,2,0,24,207
2013,7,0,1,218
2015,3,0,5,186
2015,6,0,18,269
2013,2,0,50,75
2016,2,0,56,101
2013,4,0,56,85
2017,7,0,13,537
2015,1,0,13,352
2013,3,0,57,67
2015,1,0,25,324
2013,6,0,32,160
2015,1,0,23,316
2015,6,0,12,307
2013,1,0,27,294
2015,6,0,30,222
2015,4,0,34,170
2015,2,0,24,163
2015,2,0,32,139
2015,3,0,37,161
2015,5,0,19,227
2015,7,0,45,271
2013,7,0,41,212
2015,1,0,24,342
2016,2,0,43,164
2015,7,0,2,378
2015,7,0,44,285
2015,2,0,21,172
2015,7,0,41,298
2015,4,0,32,200
2016,1,0,2,485
2015,5,0,41,179
2016,2,0,52,130
2015,2,0,27,149
2017,6,0,35,327
2015,2,0,35,126
2015,7,0,11,376
2015,4,0,19,209
2015,1,0,54,268
2017,1,0,3,573
2017,4,0,19,304
2013,7,0,24,210
2016,5,0,47,191
2016,2,0,16,235
2016,1,0,16,447
2015,2,0,1,204
2015,6,0,52,197
2016,5,0,51,201
2013,2,0,48,93
2016,1,0,37,409
2017,4,0,29,238
2015,1,0,39,332
2017,1,0,11,533
2014,2,0,12,156
2015,1,0,11,324
2015,6,0,35,213
2015,3,0,2,263
2015,7,0,32,298
2016,6,0,13,408
2013,3,0,45,64
