year,day_of_week,hour_of_day,num_rides
2014,6,12,61922
2014,5,16,80811
2013,3,12,38780
2015,6,14,89117
2015,6,7,75458
2016,7,21,47417
2014,3,21,41304
2015,2,17,163640
2020,5,19,200118
2015,4,11,59217
2017,1,12,161146
2015,1,11,82908
2015,4,9,116116
2017,3,12,104612
2016,7,12,139279
2019,2,16,194025
2019,5,9,209889
2018,5,15,142239
2015,6,12,76302
2014,6,17,122278
2015,4,12,68769
2017,6,17,243886
2015,4,22,37529
2016,2,21,61444
2015,2,7,78371
2014,5,17,128099
2016,1,9,60324
2020,1,16,270391
2014,2,3,1299
2018,6,13,141380
2018,3,11,100862
2021,1,7,1997
2014,4,14,58055
2014,1,11,69392
2016,1,12,125455
2019,3,15,161824
2019,7,12,227976
2016,6,13,112903
2016,6,8,193808
2016,1,20,63185
2015,4,21,51304
2016,5,10,90040
2017,7,15,170140
2018,7,13,196559
2015,1,10,64226
2018,4,12,121010
2020,7,15,286257
2020,7,9,119693
2018,2,10,95842
2017,7,18,132935
2021,4,0,888
2017,1,18,145822
2019,2,18,312172
2017,7,16,164496
2017,3,14,109867
2017,2,8,214115
2019,3,9,225287
2019,1,16,205607
2020,4,18,281702
2020,3,18,292033
2016,4,11,83993
2015,6,10,63658
2021,3,18,12336
2020,6,21,82951
2020,5,13,154200
2021,7,10,10232
2016,3,17,228755
2016,2,7,103546
2018,1,10,116917
2016,5,15,109491
2020,1,22,54245
2020,7,12,238749
2021,1,22,2257
2017,3,9,176871
2018,2,19,183776
2020,5,7,116326
2017,7,9,93167
2017,1,11,139736
2021,2,13,11112
2017,3,20,110605
2021,6,7,7124
2021,4,11,7782
2017,5,20,118759
2018,4,16,177229
2017,3,10,98064
2019,5,18,298078
2016,5,7,128949
2016,6,18,176448
2018,3,21,90509
2020,6,6,54314
2017,4,11,98162
2021,1,17,9466
2017,2,9,149909
2015,2,8,135414
2018,3,20,128836
2017,7,13,168006
2020,4,9,147647
2019,1,6,12951
2021,5,18,13407
2020,6,18,249255
2016,3,13,94428
2017,6,21,61768
2020,1,23,35700
