,station_name,lat,lon,station_id,borough,zip_code
0,Lispenard St & Broadway,40.719,-74.00247214,257.0,Manhattan,10003
1,Broadway & W 55 St,40.764,-73.983,468.0,Manhattan,10019
2,E 6 St & Avenue B,40.72453734,-73.98185424,317.0,Manhattan,10009
3,E 84 St & Park Ave,40.77862688,-73.959,3145.0,Manhattan,10028
4,E 25 St & 1 Ave,40.737,-73.97738662,174.0,Manhattan,10010
5,1 Ave & E 15 St,40.731,-73.983,504.0,Manhattan,10003
6,E 40 St & 5 Ave,40.752062307,-73.9816324043,153.0,Manhattan,10016
7,W 45 St & 6 Ave,40.7568001,-73.98291153,493.0,Manhattan,10036
8,W 13 St & 6 Ave,40.73649403,-73.99704374,345.0,Manhattan,10011
9,Pike St & Monroe St,40.71173107,-73.992,331.0,Manhattan,10002
10,E 32 St & Park Ave,40.7457121,-73.983,472.0,Manhattan,10016
11,MacDougal St & Prince St,40.72710258,-74.00297088,128.0,Manhattan,10012
12,W 74 St & Columbus Ave,40.7785669,-73.97754961,3172.0,Manhattan,10023
13,Lexington Ave & Classon Ave,40.68676793,-73.95928168,120.0,Brooklyn,11221
14,E 97 St & Madison Ave,40.787801,-73.953559,3336.0,Manhattan,10129
15,Lenox Ave & W 126 St,40.808442,-73.9452087,3518.0,Manhattan,10037
16,Central Park W & W 96 St,40.791,-73.965,3295.0,Manhattan,10025
17,E 11 St & 1 Ave,40.72953837,-73.98426726,326.0,Manhattan,10009
18,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3508.0,Manhattan,10027
19,W 70 St & Amsterdam Ave,40.776,-73.983,3175.0,Manhattan,10023
20,Division Ave & Marcy Ave,40.70708701,-73.95796783,3075.0,Brooklyn,11249
21,W 26 St & 8 Ave,40.746,-73.998,494.0,Manhattan,10011
22,E 53 St & Lexington Ave,40.75828065,-73.97069431,367.0,Manhattan,
23,E 55 St & 3 Ave,40.75899655960512,-73.96865397691727,3223.0,Manhattan,10022
24,E 4 St & 2 Ave,40.7262807,-73.98978041,439.0,Manhattan,10009
25,Willoughby Ave & Walworth St,40.69331716,-73.95381995,373.0,Brooklyn,11205
26,Bayard St & Baxter St,40.71602118,-73.99974372,355.0,Manhattan,10013
27,5 Ave & E 29 St,40.7451677,-73.98683077,474.0,Manhattan,10035
28,Carlton Ave & Flushing Ave,40.697787,-73.974,242.0,Brooklyn,11205
29,Duffield St & Willoughby St,40.692,-73.9842844,390.0,Brooklyn,11201
30,W 37 St & 10 Ave,40.75660359,-73.998,448.0,Manhattan,10018
31,E 17 St & Broadway,40.737,-73.99009296,497.0,Manhattan,10003
32,St Marks Pl & 1 Ave,40.72779126,-73.98564945,438.0,Manhattan,10003
33,Willoughby St & Fleet St,40.69196566,-73.9813018,239.0,Brooklyn,11201
34,9 Ave & W 28 St,40.749370241932766,-73.99923384189604,3259.0,Manhattan,10001
35,West St & Chambers St,40.71754834,-74.01322069,426.0,Manhattan,10282
36,Lenox Ave & W 130 St,40.8107922,-73.9430681,3529.0,Manhattan,10027
37,Pitt St & Stanton St,40.71926081,-73.98178024,400.0,Manhattan,10002-1013
38,43 St & Broadway,40.7577284,-73.9166368,3597.0,Queens,11101
39,Fulton St & William St,40.70955958,-74.007,316.0,Manhattan,10038
40,48 Ave & 5 St,40.743,-73.956,3122.0,Queens,11109
41,E 25 St & 2 Ave,40.73912601,-73.98,507.0,Manhattan,10010
42,Murray St & West St,40.7149787,-74.013012,309.0,Manhattan,10282
43,W 22 St & 8 Ave,40.74475148,-73.99915362,453.0,Manhattan,10011
44,E 106 St & Lexington Ave,40.791976,-73.945993,3424.0,Manhattan,10029
45,5 St & 51 Ave,40.7423737,-73.9566,3608.0,Queens,11109
46,Jay St & Tech Pl,40.695065,-73.987167,392.0,Brooklyn,11201-1832
47,W 53 St & 10 Ave,40.76669671,-73.992,480.0,Manhattan,10019
48,24 Ave & 26 St,40.774591,-73.918544,3515.0,Queens,11105
49,Lenox Ave & W 117 St,40.8025566,-73.9490782,3628.0,Manhattan,10026
50,W 52 St & 11 Ave,40.767,-73.995,72.0,Manhattan,10019
51,Washington Pl & 6 Ave,40.73224119,-74.00026394,369.0,Manhattan,10011
52,E 55 St & 2 Ave,40.75797322,-73.96603308,385.0,Manhattan,10022
53,6 Ave & Broome St,40.724399,-74.004704,2004.0,Manhattan,10014-3621
54,Willoughby Ave & Hall St,40.69196035,-73.96536851,244.0,Brooklyn,11205
55,Watts St & Greenwich St,40.72405549,-74.00965965,328.0,Manhattan,10005
56,E 19 St & 3 Ave,40.73624527,-73.98473765,325.0,Manhattan,10003
57,Classon Ave & St Marks Ave,40.6765198,-73.9596082,3562.0,Brooklyn,11238
58,W 13 St & 7 Ave,40.73781509,-73.99994661,223.0,Manhattan,10011
59,Centre St & Worth St,40.71494807,-74.00234482,386.0,Manhattan,10278
60,W 87 St & West End Ave,40.789622,-73.97757,3287.0,Manhattan,10024
61,Bedford Ave & Nassau Ave,40.722,-73.953,3107.0,Brooklyn,11222
62,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,3284.0,Manhattan,10128
63,35 Ave & 37 St,40.7557327,-73.9236611,3570.0,Queens,11101
64,Driggs Ave & N 9 St,40.71816969454208,-73.956,3715.0,Brooklyn,11211
65,W 36 St & 9 Ave,40.754623240291046,-73.99516761302948,3635.0,Manhattan,10018
66,Broadway & W 60 St,40.76915505,-73.983,499.0,Manhattan,10023
67,W 49 St & 8 Ave,40.761,-73.989,450.0,Manhattan,10036
68,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,539.0,Brooklyn,11249
69,W 107 St & Columbus Ave,40.7997568,-73.9621128676,3343.0,Manhattan,10025-4403
70,W 18 St & 6 Ave,40.73971301,-73.99456405,168.0,Manhattan,10011
71,E 20 St & FDR Drive,40.73314259,-73.977,487.0,Manhattan,
72,Putnam Ave & Wyckoff Ave,40.69811,-73.90904,3840.0,Brooklyn,11237
73,Humboldt St & Varet St,40.7031724,-73.940636,3068.0,Brooklyn,11211
74,Lefferts Pl & Franklin Ave,40.68,-73.956,396.0,Brooklyn,11238
75,Little West St & 1 Pl,40.70569254,-74.01677685,2008.0,Manhattan,10280
76,W 82 St & Central Park West,40.78275,-73.97137,3226.0,Manhattan,10024
