index,station_id,street,neighborhood,borough,zip_code
449,3240.0,,,,
954,3036.0,,,Queens County,
959,3633.0,,,,
960,3446.0,,,,
1420,3480.0,,,,
1428,3248.0,,,,
1429,3215.0,,,,
198,160.0,,,,07740
1286,3793.0,Stuyvesant Walk,,Manhattan,10009
218,3139.0,East 70th Street,,Manhattan,10021
1006,3132.0,East 59th Street,,Manhattan,10022
795,3810.0,Central Park Outer Loop,,Manhattan,10024
130,4122.0,Central Park Outer Loop,,Manhattan,10025
174,4124.0,Central Park Outer Loop,,Manhattan,10025
958,3912.0,97th Street Transverse Road,,Manhattan,10025
1114,3295.0,Central Park Outer Loop,,Manhattan,10025
710,3374.0,North Woods,,Manhattan,10026
800,3630.0,West 114th Street,,Manhattan,10026
371,3928.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10027
1117,3531.0,West 129th Street,,Manhattan,10027
1155,3747.0,East 84th Street,,Manhattan,10028
1187,3145.0,East 83rd Street,,Manhattan,10028
159,4016.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10030
378,4023.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10030
398,3959.0,Edgecombe Avenue,,Manhattan,10030
809,3927.0,Malcolm X Boulevard,,Manhattan,10030
872,4002.0,West 144th Street,,Manhattan,10030
1303,3999.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10030
613,4004.0,West 141st Street,,Manhattan,10031
1383,3981.0,Harlem River Drive Greenway,,Manhattan,10032
1380,4065.0,Wadsworth Avenue,,Manhattan,10033
1392,4066.0,Audubon Avenue,,Manhattan,10033
978,3143.0,5th Avenue,,Manhattan,10035
325,3998.0,Malcolm X Boulevard,,Manhattan,10037
879,4000.0,Malcolm X Boulevard,,Manhattan,10037
154,3953.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10039
333,4024.0,Macombs Place,,Manhattan,10039
340,4015.0,West 155th Street (surface),,Manhattan,10039
393,4020.0,Bradhurst Avenue,,Manhattan,10039
844,4220.0,Frederick Douglass Boulevard,,Manhattan,10039
917,4041.0,Adam Clayton Powell Jr. Boulevard,,Manhattan,10039
923,4028.0,Frederick Douglass Boulevard,,Manhattan,10039
1395,4001.0,West 146th Street,,Manhattan,10039
908,4067.0,Amsterdam Avenue,,Manhattan,10040
626,3137.0,Terrace Drive,,Manhattan,10065
740,3264.0,East 61st Street,,Manhattan,10065
10,3292.0,Central Park Outer Loop,,Manhattan,10129
1272,3299.0,Central Park Outer Loop,,Manhattan,10129
335,4029.0,Courtlandt Avenue,,The Bronx,10451
336,3963.0,Melrose Avenue,,The Bronx,10451
369,4126.0,East 157th Street,,The Bronx,10451
864,3961.0,Morris Avenue,,The Bronx,10451
874,4208.0,Walton Avenue,,The Bronx,10451
902,4101.0,East 157th Street,,The Bronx,10451
909,4076.0,East 150th Street,,The Bronx,10451
1280,4105.0,Concourse Village West,,The Bronx,10451
1312,4166.0,East 153rd Street,,The Bronx,10451
1337,4198.0,East 161st Street,,The Bronx,10451
1372,4093.0,Grand Concourse,,The Bronx,10451
113,4222.0,River Avenue,,The Bronx,10452
894,4194.0,Plaza Drive,,The Bronx,10452
1370,4102.0,Grand Concourse,,The Bronx,10452
818,3955.0,Saint Mary's Street,,The Bronx,10454
900,3930.0,Alexander Avenue,,The Bronx,10454
913,3958.0,East 143rd Street,,The Bronx,10454
1385,3950.0,East 141st Street,,The Bronx,10454
338,3987.0,Jackson Avenue,,The Bronx,10455
404,3969.0,Saint Ann's Avenue,,The Bronx,10455
827,4132.0,Southern Boulevard,,The Bronx,10455
857,3982.0,Bergen Avenue,,The Bronx,10455
859,4011.0,Jackson Avenue,,The Bronx,10455
906,4186.0,East 149th Street,,The Bronx,10455
1311,3986.0,East 148th Street,,The Bronx,10455
1314,3968.0,East 151st Street,,The Bronx,10455
