BoroName,the_geom,BoroCode,OBJECTID,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SHELTER_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,FEMAFldz,FEMAFldT,HrcEvac
Brooklyn,POINT (-73.9478295701936 40.70680374307532),3,1,301,34,53,18,7,BR0003,MONTROSE AV,LORIMER ST,-73.947831,40.706812,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.9451605700359 40.71908874054852),3,2,301,34,50,18,12,BR0014,GRAHAM AV,HERBERT ST,-73.945162,40.719097,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.9457815717667 40.70296774339004),3,3,301,34,53,18,7,BR0026,BROADWAY,LEONARD ST,-73.945783,40.702976,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.94083457184558 40.720186740021475),3,4,301,34,50,18,12,BR0028,KINGSLAND AV,HERBERT ST,-73.940836,40.720195,X,AREA OF MINIMAL FLOOD HAZARD,6
Brooklyn,POINT (-73.96979356454533 40.693431746294216),3,5,302,35,50,25,8,BR0040,VANDERBILT AV,MYRTLE AV,-73.969795,40.69344,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.99205455683718 40.68947974789381),3,6,302,33,52,26,7,BR0049,Atlantic Av,COURT ST,-73.992056,40.689488,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.99267355760601 40.689874747782184),3,7,302,33,52,26,7,BR0050,Atlantic Av,COURT ST,-73.992675,40.689883,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.99148955714544 40.69678274625634),3,8,302,33,52,26,7,BR0055,Cadman Plz West,CLARK ST,-73.991491,40.696791,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.98756755870413 40.69024274722263),3,9,302,33,52,25,7,BR0058,LIVINGSTON ST,SMITH ST,-73.987569,40.690251,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.96923756420944 40.68964174727508),3,10,302,35,57,25,8,BR0062,VANDERBILT AV,DEKALB AV,-73.969239,40.68965,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.94537557257387 40.690261745703715),3,11,303,36,56,25,8,BR0085,TOMPKINS AV,LAFAYETTE AV,-73.945377,40.69027,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.93494757590685 40.67939174745398),3,12,303,36,56,25,8,BR0097,TROY AV,FULTON ST,-73.934949,40.6794,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.95539856995765 40.68109174806154),3,13,303,36,57,25,8,BR0105,FULTON ST BETWEEN FRANKLIN AV & SPENSER,BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.94329357303879 40.696126744591155),3,14,303,36,56,18,8,BR0113,MYRTLE AV,THROOP AV,-73.943295,40.696135,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.952317569679 40.69508374515981),3,15,303,36,56,18,7,BR0131,MYRTLE AV,NOSTRAND AV,-73.952319,40.695092,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.92361957854575 40.69942074355031),3,16,304,37,53,18,7,BR0140,WILSON AV,DEKALB AV,-73.923621,40.699429,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.90936958347226 40.691467744256855),3,17,304,37,54,18,7,BR0143,WILSON AV,HALSEY ST,-73.909371,40.691476,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.92754757762661 40.69296074479219),3,18,304,34,54,18,7,BR0145,KOSSUTH PL,BROADWAY,-73.927549,40.692969,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.91111358251514 40.69934474331125),3,19,304,37,53,18,7,BR0155,PALMETTO ST,WYCKOFF AV,-73.911115,40.699353,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.94232157290602 40.7008587435839),3,20,301,33,53,18,7,BR0157,BROADWAY,FLUSHING AV,-73.942323,40.700867,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.8718885968241 40.68173174532),3,21,305,37,54,18,7,BR0175,Atlantic Av,CRESCENT ST,-73.87189,40.68174,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.94497857318359 40.686914746588755),3,22,303,36,56,25,8,BR02000,GATES AV,TOMPKINS AV,-73.94498,40.686923,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-74.01817755234089 40.64058975841218),3,23,307,38,51,20,7,BR02001,60 ST,4 AV,-74.018179,40.640598,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-74.00972955448688 40.63568675850093),3,24,307,38,49,20,7,BR02003,60 ST,8 AV,-74.009731,40.635695,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.99338756255845 40.60217476448019),3,25,311,47,47,23,11,BR02005,BAY PKWY,86 ST,-73.993389,40.602183,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.99574256031116 40.61333876253446),3,26,311,47,49,22,10,BR02010,BAY RIDGE PKWY,18 AV,-73.995744,40.613347,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.99965755919999 40.615489762226076),3,27,311,43,49,22,10,BR02011,BAY RIDGE PKWY,NEW UTRECHT AV,-73.999659,40.615498,X,AREA OF MINIMAL FLOOD HAZARD,6
Brooklyn,POINT (-74.01356055477163 40.61083776420205),3,28,311,43,46,22,11,BR02012,14 AV,BENSON AV,-74.013562,40.610846,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.9937455616301 40.60215976471254),3,29,311,47,47,23,11,BR02014,BAY PKWY,86 ST,-73.993747,40.602168,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.96876057151924 40.57999576801357),3,30,313,48,46,23,8,BR02015,NEPTUNE AV,OCEAN PKWY,-73.968762,40.580004,AE,,1
Brooklyn,POINT (-73.95978257418842 40.581805767752755),3,31,313,48,45,23,8,BR02016,Coney Island Av,NEPTUNE AV,-73.959784,40.581814,AE,,1
Brooklyn,POINT (-73.96079857367232 40.591297765607365),3,32,315,48,45,22,11,BR02019,Coney Island Av,AV X,-73.9608,40.591306,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.94077857921191 40.593938764882694),3,33,315,48,41,19,9,BR02020,NOSTRAND AV,AV X,-73.94078,40.593947,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.96738157074715 40.605408763259256),3,34,315,44,45,22,11,BR02021,KINGS HWY,OCEAN PKWY,-73.967383,40.605417,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.93753058050379 40.60097276340084),3,35,315,46,41,22,9,BR02022,AV U,COYLE ST,-73.937532,40.600981,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.93300458180715 40.600049763049526),3,36,315,46,41,22,9,BR02023,GERRITSEN AV,AV V,-73.933006,40.600058,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.93075457844749 40.6706457493404),3,37,308,36,55,20,9,BR02024,ST JOHNS PL,UTICA AV,-73.930756,40.670654,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.92316058050181 40.67022874928229),3,38,308,41,55,20,9,BR02025,ST JOHNS PL,RALPH AV,-73.923162,40.670237,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.89484059025112 40.66935074838802),3,39,305,42,60,19,8,BR02026,Sutter Av,Pennsylvania Av,-73.894842,40.669359,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.89530158947547 40.66913374823481),3,40,305,42,60,19,8,BR02027,Pennsylvania Av,SUTTER AV,-73.895303,40.669142,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.89406158994565 40.66432474950027),3,41,305,42,60,19,8,BR02029,Pennsylvania Av,LIVONIA AV,-73.894063,40.664333,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.94168257920062 40.60051376344462),3,42,315,46,41,22,9,BR02031,AV U,NOSTRAND AV,-73.941684,40.600522,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.95586157541487 40.58771076600027),3,43,315,48,45,23,9,BR02032,AV Z,E 13 ST,-73.955863,40.587719,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
Brooklyn,POINT (-73.90781658841495 40.61969775859896),3,44,318,46,59,19,8,BR02033,AV U,E 71 ST,-73.907818,40.619706,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.93201657780044 40.66361575030563),3,45,309,41,43,20,9,BR02034,EMPIRE BLVD,UTICA AV,-73.932018,40.663624,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.86981659701846 40.673145746313004),3,46,305,42,60,19,8,BR02035,SUTTER AV,CRESCENT ST,-73.869818,40.673154,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.8884615914628 40.670303748021105),3,47,305,42,60,18,8,BR02036,SUTTER AV,HENDRIX ST,-73.888463,40.670312,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.89111259148979 40.66263074967492),3,48,305,42,60,19,8,BR02037,NEW LOTS AV,VERMONT ST,-73.891114,40.662639,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.87425859620144 40.66933274748857),3,49,305,42,60,19,8,BR02038,DUMONT AV,FOUNTAIN AV,-73.87426,40.669341,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.8970325882691 40.67827074645691),3,50,305,37,54,18,7,BR0204,JAMAICA AV,Pennsylvania Av,-73.897034,40.678279,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.8930645905698 40.66158574971063),3,51,305,42,60,19,8,BR02040,Pennsylvania Av,NEW LOTS AV,-73.893066,40.661594,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.88139459382744 40.66684674792025),3,52,305,42,60,19,8,BR02041,NEW LOTS AV,ELTON ST,-73.881396,40.666855,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.8894575922504 40.66335974882422),3,53,305,42,60,19,8,BR02042,NEW LOTS AV,BRADFORD ST,-73.889459,40.663368,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.95257457305068 40.63338475717787),3,54,314,45,42,21,9,BR02043,GLENWOOD RD,BEDFORD AV,-73.952576,40.633393,X,AREA OF MINIMAL FLOOD HAZARD,5
Brooklyn,POINT (-73.9176485845815 40.624558757573524),3,55,318,46,59,19,8,BR02045,RALPH AV,AV L,-73.91765,40.624567,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.913688585194 40.635375755678204),3,56,318,46,59,19,8,BR02046,FLATLANDS AV,E 80 ST,-73.91369,40.635384,X,AREA OF MINIMAL FLOOD HAZARD,3
Brooklyn,POINT (-73.94103457954625 40.583941766250334),3,57,315,48,41,23,8,BR02047,EMMONS AV,E 28 ST,-73.941036,40.58395,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
Brooklyn,POINT (-73.96001056656004 40.71370674143365),3,58,301,34,50,18,7,BR02048,DRIGGS AV,GRAND ST,-73.960012,40.713715,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.94922956911277 40.714133741667304),3,59,301,34,53,18,12,BR02049,METROPOLITAN AV,LORIMER ST,-73.949231,40.714142,X,AREA OF MINIMAL FLOOD HAZARD,6
Brooklyn,POINT (-73.96065856723449 40.69036474622204),3,60,302,35,57,25,8,BR02050,DEKALB AV,CLASSON AV,-73.96066,40.690373,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.9780985615641 40.69351174682835),3,61,302,35,57,25,8,BR02051,MYRTLE AV BETWEEN EDWARDS ST & NAVY ST,BETWEEN EDWARDS ST & NAVY ST,-73.9781,40.69352,X,AREA OF MINIMAL FLOOD HAZARD,4
Brooklyn,POINT (-73.93308457675644 40.67523374832391),3,62,308,36,56,25,9,BR02052,BERGEN ST,SCHENECTADY AV,-73.933086,40.675242,X,AREA OF MINIMAL FLOOD HAZARD,
Brooklyn,POINT (-73.93114257835968 40.670502748903324),3,63,308,35,56,20,9,BR02054,ST JOHNS PL,UTICA AV,-73.931144,40.670511,X,AREA OF MINIMAL FLOOD HAZARD,
